labid,Sat_w,pHw,pHCaCl,pHKCl,CE_susp,CE_sat,C_Ox,0CaCO3,CEC,Ca,Mg,Na,K,Total_bases,Sat,ESP,co3,clay,silt,sand18,sand30,sand60,sand140,sand200,sand260
64767,40,7.8,6.85,6.57,0.47,0.9,0.13,1,22.9,,,1.5,3,,,6.5,17.7,23.6,48,0,0,0.1,0.2,3.4,7
64768,40,6.28,5.31,5.22,0.11,0.24,1.86,0,22.3,12,3.1,0.5,1.7,17.3,77.6,2.2,,22.3,51.1,0,0,0.2,1.3,7.8,17.3
64771,40.1,7.12,5.77,5.52,0.19,0.43,0.24,0,26.2,14,3.6,1.2,2.3,21.1,80.5,4.6,,28.6,57.6,0,0.8,0.9,1,3.7,7.4
64772,36.7,9.7,8.82,8.47,0.74,1.22,0.1,0,27.5,14.9,4.8,5,3.2,27.9,101.5,18.2,,26,52.6,0,0.1,0.2,1.3,6,13.8
64773,33.3,6.82,5.7,5.32,0.05,0.12,0.1,0,18.9,9.8,2.2,0.7,2.3,15,79.4,3.7,,18.5,58.9,0,0.3,0.8,1.7,8.2,11.6
64774,46.7,6.93,5.9,5.66,0.13,0.26,0.15,0,23.6,11.9,2.8,0.8,3.2,18.7,79.2,3.4,,20,62.3,0,0,0.6,0.9,6.5,9.7
64782,46.7,6.92,6,5.83,0.33,0.8,0.32,2,28.2,14.4,4,0.6,3.2,22.2,78.7,2.1,18.4,16.2,46.4,0,0,0.6,2.2,6.3,9.9
64784,40,7.22,6.8,6.41,0.1,0.25,0.29,0,19.1,10.6,2.3,0.6,1.5,15,78.5,3.1,,24.5,65.6,0,0,0.5,0.9,3.5,5
64785,50.3,7.66,6.71,6.43,0.28,0.8,0.06,0,27.3,15,4,0.7,2.7,22.4,82.1,2.6,,26.5,67.2,0,0,0.2,0.6,1.9,3.6
64787,40,5.9,5,4.84,0.11,0.35,1.65,0,22.1,10.3,3,0.4,1.5,15.2,68.8,1.8,,24,54.3,0,0.1,0.6,1.2,7,12.8
64788,37,6,5.06,4.83,0.21,0.4,0.96,0,18.1,9,2.2,0.4,1.3,12.9,71.3,2.2,,20.9,58.9,0,0,0.5,0.9,7.8,11
64790,42,9.24,8.02,7.89,0.19,0.34,0.28,3,23.1,,,3.7,2.4,,,16,19.1,18.9,50.1,0,0.2,0.4,0.7,5,5.6
64791,45.3,5.7,4.87,4.8,0.12,0.28,1.04,0,15.9,7.6,1.7,0.5,2,11.8,74.2,3.1,,21.2,59.6,0,0.3,0.5,1.7,5.9,10.8
